Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-35.79599,-29.05790,3,2011,3502.000,1.96800,34.848000,-0.37000,-1.74000,,Geotraces Rijkenberg et al. (2011)
-32.74438,-22.47150,3,2011,752.000,5.29800,34.394001,-0.37000,-1.76000,,Geotraces Rijkenberg et al. (2011)
-32.87811,-0.18715,3,2011,4338.000,1.19000,34.764999,-0.37000,-1.57000,,Geotraces Rijkenberg et al. (2011)
-47.19958,-46.92000,3,2011,502.000,4.23500,34.134998,-0.36000,-1.61000,,Geotraces Rijkenberg et al. (2011)
-47.19958,-46.92000,3,2011,751.000,3.48700,34.208000,-0.36000,-2.18000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,501.000,3.64000,34.174999,-0.36000,-2.82000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,2501.000,2.30200,34.814999,-0.36000,-3.01000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,1000.000,3.14400,34.346001,-0.36000,-0.27000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,200.000,14.71700,35.584000,-0.36000,-0.03000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,1501.000,2.88800,34.500999,-0.36000,-1.42000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,74.000,6.10900,34.006001,-0.35000,-2.14000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,748.000,3.18200,34.236000,-0.35000,-3.04000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,3503.000,2.43500,34.893002,-0.35000,-0.09000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,4000.000,1.73700,34.823002,-0.35000,-1.31000,,Geotraces Rijkenberg et al. (2011)
-47.19958,-46.92000,3,2011,5715.000,0.33600,34.667999,-0.34000,-2.19000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,4001.000,0.51300,34.687000,-0.34000,-2.68000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,3501.000,1.08300,34.717999,-0.34000,0.09000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,5000.000,0.32300,34.672001,-0.33000,-2.86000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,5000.000,0.26200,34.668999,-0.33000,-2.98000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,4002.000,1.35100,34.778000,-0.33000,-2.15000,,Geotraces Rijkenberg et al. (2011)
-28,-9.15415,3,2011,4498.000,1.01400,34.745998,-0.33000,-1.51000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,3000.000,1.73800,34.761002,-0.32000,0.32000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,1002.000,3.66800,34.237000,-0.32000,-1.84000,,Geotraces Rijkenberg et al. (2011)
-35.79599,-29.05790,3,2011,500.000,10.19600,34.840000,-0.32000,-0.36000,,Geotraces Rijkenberg et al. (2011)
-30.59921,-17.01680,3,2011,750.000,4.57500,34.417999,-0.32000,-2.79000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,98.000,4.92900,33.992001,-0.31000,-2.98000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,150.000,8.31400,34.536999,-0.31000,-1.98000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,1750.000,2.88400,34.646999,-0.31000,-1.29000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,1497.000,2.12900,34.668999,-0.30000,-2.58000,,Geotraces Rijkenberg et al. (2011)
-47.19958,-46.92000,3,2011,401.000,4.72800,34.154999,-0.30000,-1.56000,,Geotraces Rijkenberg et al. (2011)
-47.19958,-46.92000,3,2011,5001.000,0.36500,34.674000,-0.30000,-1.70000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,150.000,9.07100,34.678001,-0.30000,-1.90000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,999.000,2.91400,34.377998,-0.30000,-1.54000,,Geotraces Rijkenberg et al. (2011)
-42.4166,-39.96320,3,2011,1250.000,2.91200,34.478001,-0.30000,-0.39000,,Geotraces Rijkenberg et al. (2011)
-39.4368,-35.00880,3,2011,1251.000,3.19600,34.382000,-0.30000,-2.26000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,250.000,2.97600,34.069000,-0.29000,-1.95000,,Geotraces Rijkenberg et al. (2011)
