Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
-125.821,71.12,11,2003,8.2,-1.43,27.38,-4.20,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,13.2,0.47,28.89,-3.75,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,25.7,-0.28,31.30,-2.98,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,39.6,-0.96,31.67,-2.85,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,74.5,-1.44,32.52,-2.18,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,99.4,-1.51,32.73,-1.99,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,123.7,-1.52,32.90,-1.82,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,148.6,-1.48,33.04,-1.72,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,198.1,-1.04,33.70,-0.99,-99.9,,Lansard et al (2012)
-125.821,71.12,11,2003,374.5,0.33,34.80,0.22,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,5.5,-1.34,27.03,-4.27,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,10.1,-1.42,27.08,-4.25,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,14.1,-1.45,27.32,-4.19,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,22.7,-0.10,29.33,-3.52,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,49.6,-1.09,32.22,-2.43,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,74.1,-1.41,32.52,-2.22,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,99.3,-1.50,32.70,-2.01,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,123.8,-1.52,32.85,-1.85,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,148.3,-1.46,33.09,-1.64,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,198.3,-1.02,33.88,-0.67,-99.9,,Lansard et al (2012)
-125.19,71.30,11,2003,296.8,0.21,34.70,0.16,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,1.2,-1.39,27.08,-4.22,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,5.1,-1.45,27.16,-4.12,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,10.1,-1.34,27.43,-4.08,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,15.0,-1.31,27.95,-3.93,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,24.3,-0.36,30.88,-3.06,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,49.8,-1.35,32.17,-2.40,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,74.5,-1.47,32.51,-2.07,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,99.0,-1.51,32.72,-1.94,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,130.8,-1.49,33.06,-1.58,-99.9,,Lansard et al (2012)
-124.511,71.49,11,2003,209.1,-0.26,34.34,-0.28,-99.9,,Lansard et al (2012)
-128.916,70.92,11,2003,1.9,-1.49,27.66,-3.98,-99.9,,Lansard et al (2012)
-128.916,70.92,11,2003,4.9,-1.53,28.58,-3.74,-99.9,,Lansard et al (2012)
-128.916,70.92,11,2003,10.1,-1.57,29.23,-3.58,-99.9,,Lansard et al (2012)
-128.916,70.92,11,2003,14.6,-1.41,30.62,-3.25,-99.9,,Lansard et al (2012)
-128.916,70.92,11,2003,24.4,-1.32,31.43,-3.02,-99.9,,Lansard et al (2012)
-128.916,70.92,11,2003,29.6,-1.35,31.48,-3.00,-99.9,,Lansard et al (2012)
-128.319,71.11,11,2003,1.2,-1.49,27.46,-4.19,-99.9,,Lansard et al (2012)
-128.319,71.11,11,2003,4.0,-1.48,27.47,-4.18,-99.9,,Lansard et al (2012)
-128.319,71.11,11,2003,10.0,-1.47,27.48,-4.17,-99.9,,Lansard et al (2012)
-128.319,71.11,11,2003,12.5,-1.49,27.52,-4.17,-99.9,,Lansard et al (2012)
-128.319,71.11,11,2003,24.7,-1.46,32.26,-2.37,-99.9,,Lansard et al (2012)
-128.319,71.11,11,2003,50.3,-1.46,32.60,-2.11,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,1.5,-1.41,26.69,-4.36,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,5.2,-1.38,26.70,-4.35,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,10.2,-1.45,26.82,-4.28,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,19.5,-0.74,28.22,-3.87,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,25.3,-0.89,31.23,-2.93,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,50.0,-1.34,32.17,-2.50,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,74.4,-1.48,32.71,-2.09,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,99.6,-1.49,33.00,-1.77,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,124.6,-1.36,33.41,-1.31,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,147.0,-0.96,33.93,-0.76,-99.9,,Lansard et al (2012)
-127.67099,71.30,11,2003,169.9,-0.46,34.27,-0.43,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,1.3,-1.37,26.97,-4.29,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,7.9,-1.40,27.10,-4.23,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,10.2,-1.40,27.85,-4.03,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,14.5,-0.80,28.29,-3.86,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,24.9,0.21,29.16,-3.55,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,50.0,-1.18,32.11,-2.46,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,75.9,-1.45,32.53,-2.17,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,97.9,-1.51,32.77,-1.99,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,123.6,-1.52,33.01,-1.74,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,147.7,-1.39,33.21,-1.53,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,198.5,-0.64,34.08,-0.54,-99.9,,Lansard et al (2012)
-127.075,71.51,11,2003,247.7,-0.11,34.54,0.22,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,1.0,-1.36,26.96,-4.15,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,5.3,-1.44,26.97,-4.17,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,10.3,-1.44,26.99,-4.13,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,15.1,-1.39,27.42,-4.04,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,24.7,-0.15,29.95,-3.11,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,49.5,-1.17,32.14,-2.43,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,74.3,-1.46,32.56,-2.14,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,97.9,-1.51,32.77,-1.99,-99.9,,Lansard et al (2012)
-126.44501,71.70,11,2003,139.3,-1.48,33.14,-1.62,-99.9,,Lansard et al (2012)
-125.89,71.88,11,2003,1.4,-1.49,27.94,-3.92,-99.9,,Lansard et al (2012)
-125.89,71.88,11,2003,4.9,-1.49,27.95,-3.95,-99.9,,Lansard et al (2012)
-125.89,71.88,11,2003,10.0,-1.49,27.97,-3.97,-99.9,,Lansard et al (2012)
-125.89,71.88,11,2003,14.8,-1.49,27.97,-3.95,-99.9,,Lansard et al (2012)
-125.89,71.88,11,2003,23.2,-1.13,29.71,-3.43,-99.9,,Lansard et al (2012)
-125.89,71.88,11,2003,47.4,-0.87,31.18,-2.93,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,1.3,-1.46,27.91,-3.46,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,50.1,-1.32,32.17,-2.23,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,74.4,-1.48,32.53,-2.10,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,99.4,-1.51,32.79,-1.96,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,123.8,-1.48,33.02,-1.77,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,148.8,-1.44,33.14,-1.60,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,198.4,-0.85,33.94,-0.76,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,248.2,-0.22,34.43,-0.18,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,297.1,0.10,34.65,0.18,-99.9,,Lansard et al (2012)
-127.53101,72.03,10,2003,377.9,0.33,34.81,0.37,-99.9,,Lansard et al (2012)
-128.368,72.03,10,2003,1.6,-1.52,28.07,-3.42,-99.9,,Lansard et al (2012)
-133.82201,72.03,10,2003,12.7,-1.23,26.95,-3.72,-99.9,,Lansard et al (2012)
-133.82201,72.03,10,2003,16.1,-1.23,27.48,-3.62,-99.9,,Lansard et al (2012)
-133.82201,72.03,10,2003,22.8,-0.78,30.15,-3.71,-99.9,,Lansard et al (2012)
-133.82201,72.03,10,2003,51.4,-1.31,31.85,-2.20,-99.9,,Lansard et al (2012)
-133.60201,72.03,10,2003,15.7,-1.31,30.30,-3.36,-99.9,,Lansard et al (2012)
-133.60201,72.03,10,2003,25.7,-1.19,31.18,-3.30,-99.9,,Lansard et al (2012)
-133.60201,72.03,10,2003,54.2,-1.44,32.11,-2.03,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,1.8,4.40,30.30,-3.70,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,4.9,4.10,30.43,-3.74,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,9.8,3.64,30.45,-3.66,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,14.6,3.16,30.51,-3.58,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,35.3,-0.99,31.94,-2.59,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,49.4,-1.35,32.42,-2.23,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,74.0,-1.49,32.81,-2.00,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,106.9,-1.42,33.19,-1.65,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,123.7,-1.22,33.49,-1.21,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,148.4,-0.90,33.85,-0.70,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,173.0,-0.44,34.28,-0.20,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,198.0,-0.12,34.54,0.06,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,247.3,0.21,34.68,0.17,-99.9,,Lansard et al (2012)
-125.85001,70.94,7,2004,374.0,0.37,34.80,0.22,-99.9,,Lansard et al (2012)
-124.83899,70.32,8,2004,1.7,6.32,28.09,-3.97,-99.9,,Lansard et al (2012)
-124.83899,70.32,8,2004,7.0,6.33,29.44,-3.91,-99.9,,Lansard et al (2012)
-124.83899,70.32,8,2004,12.7,3.60,30.53,-3.57,-99.9,,Lansard et al (2012)
-124.83899,70.32,8,2004,21.1,1.81,30.57,-3.49,-99.9,,Lansard et al (2012)
-124.83899,70.32,8,2004,36.6,-0.62,31.46,-3.00,-99.9,,Lansard et al (2012)
-124.83899,70.32,8,2004,50.0,-1.13,32.16,-2.35,-99.9,,Lansard et al (2012)
-124.83899,70.32,8,2004,84.1,-1.30,32.45,-2.24,-99.9,,Lansard et al (2012)
-127.117,70.76,6,2004,1.2,2.90,30.53,-3.76,-99.9,,Lansard et al (2012)
-127.117,70.76,6,2004,9.9,2.33,30.53,-3.70,-99.9,,Lansard et al (2012)
-127.117,70.76,6,2004,24.6,1.05,30.84,-3.59,-99.9,,Lansard et al (2012)
-127.117,70.76,6,2004,98.9,-1.50,32.68,-1.99,-99.9,,Lansard et al (2012)
-127.117,70.76,6,2004,123.3,-1.48,32.91,-1.75,-99.9,,Lansard et al (2012)
-127.117,70.76,6,2004,173.1,-0.73,33.96,-0.63,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,1.3,5.01,29.85,-3.78,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,4.5,4.37,29.87,-3.78,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,13.0,3.46,30.55,-3.64,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,21.5,0.79,30.73,-3.60,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,39.4,-0.99,31.92,-2.57,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,43.1,-1.05,32.11,-2.42,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,74.2,-1.46,32.61,-2.08,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,99.0,-1.49,32.83,-1.86,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,123.2,-1.42,33.09,-1.55,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,148.3,-1.17,33.55,-1.12,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,173.0,-0.69,34.07,-0.56,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,197.8,-0.31,34.38,-0.14,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,247.1,0.13,34.65,0.15,-99.9,,Lansard et al (2012)
-125.834,71.13,7,2004,386.6,0.36,34.81,0.28,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,1.2,0.33,27.75,-3.19,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,4.3,0.25,28.19,-3.22,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,14.6,0.41,29.95,-3.39,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,20.7,1.14,30.23,-3.43,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,39.9,-1.12,31.70,-2.47,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,74.3,-1.41,32.52,-2.00,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,99.0,-1.50,32.80,-1.78,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,124.0,-1.44,33.09,-1.47,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,148.5,-1.23,33.41,-1.18,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,173.2,-0.86,33.84,-0.68,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,198.0,-0.44,34.25,-0.22,-99.9,,Lansard et al (2012)
-125.192,71.30,7,2004,295.9,0.20,34.70,0.14,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,1.6,1.83,29.36,-3.63,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,4.9,1.66,29.47,-3.64,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,9.9,1.05,29.72,-3.78,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,14.6,1.32,29.93,-3.63,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,34.3,-1.04,31.33,-2.94,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,74.1,-1.44,32.61,-2.13,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,98.9,-1.49,32.91,-1.83,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,122.0,-1.42,33.15,-1.62,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,148.3,-1.12,33.55,-1.17,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,173.0,-0.76,33.91,-0.50,-99.9,,Lansard et al (2012)
-124.543,71.49,7,2004,213.6,-0.25,34.38,-0.23,-99.9,,Lansard et al (2012)
-128.933,70.92,7,2004,1.8,2.41,29.91,-3.97,-99.9,,Lansard et al (2012)
-128.933,70.92,7,2004,4.8,3.12,29.71,-3.68,-99.9,,Lansard et al (2012)
-128.933,70.92,7,2004,9.8,-0.85,30.72,-3.53,-99.9,,Lansard et al (2012)
-128.933,70.92,7,2004,20.9,-0.39,31.62,-2.75,-99.9,,Lansard et al (2012)
