 134.52  7.27 12003    0 27.84 -99.9  0.29 -99.9                                                      Grottoli et al (2010)
 134.52  7.27 12003    0 27.90 -99.9  0.30 -99.9                                                      Grottoli et al (2010)
 134.52  7.27 12003    0 27.90 -99.9  0.28 -99.9                                                      Grottoli et al (2010)
 -31.00-21.87 11988    9 26.86 37.25  1.22 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988   38 26.85 37.31  1.24 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988   49 26.35 37.22  1.44 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988   78 24.10 36.99  1.37 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988  120 22.43 36.73  1.23 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988  144 20.39 36.39  1.20 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988  200 17.67 35.91  0.89 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988  300 13.54 35.27  0.68 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988  788  4.46 34.44  0.01 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988  899  3.82 34.49  0.10 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988 1300  3.38 34.79  0.21 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988 2199  2.98 35.08  0.28 -99.9            (X)                                         Pierre et al (1991)
 -31.00-21.87 11988 4000  1.34 35.05  0.21 -99.9            (X)                                         Pierre et al (1991)
  80.50  1.18 11994    0 -99.9 35.10  0.41 -99.9                                                      Delaygue et al (2001)
  80.50  0.03 11994    0 -99.9 35.22  0.44 -99.9            (H)                                       Delaygue et al (2001)
  80.75  0.03 11994    0 -99.9 35.10  0.50 -99.9                                                      Delaygue et al (2001)
  81.22  0.03 11994    0 -99.9 35.19  0.46 -99.9            (H)                                       Delaygue et al (2001)
  82.03  0.02 11994    0 -99.9 35.50  0.47 -99.9                                                      Delaygue et al (2001)
  83.63  0.00 11994    0 -99.9 35.15  0.41 -99.9            (H)                                       Delaygue et al (2001)
  83.92  0.05 11994    0 -99.9 35.20  0.47 -99.9                                                      Delaygue et al (2001)
  83.65  0.13 11994    0 -99.9 35.27  0.44 -99.9            (H)                                       Delaygue et al (2001)
  83.47  0.42 11994    0 -99.9 35.32  0.41 -99.9            (H)                                       Delaygue et al (2001)
  82.83  1.50 11994    0 -99.9 35.39  0.50 -99.9            (H)                                       Delaygue et al (2001)
  82.50  2.02 11994    0 -99.9 35.43  0.44 -99.9            (H)                                       Delaygue et al (2001)
  82.58  2.18 11994    0 -99.9 35.00  0.40 -99.9                                                      Delaygue et al (2001)
  82.87  3.57 11994    0 -99.9 35.47  0.38 -99.9            (H)                                       Delaygue et al (2001)
  82.75  4.55 11994    0 -99.9 34.90  0.37 -99.9                                                      Delaygue et al (2001)
  82.88  4.15 11994    0 -99.9 35.60  0.33 -99.9            (H)                                       Delaygue et al (2001)
  83.07  4.68 11994    0 -99.9 35.33  0.39 -99.9            (H)                                       Delaygue et al (2001)
  83.83  4.62 11994    0 -99.9 34.80  0.39 -99.9                                                      Delaygue et al (2001)
  84.08  4.58 11994    0 -99.9 35.19  0.36 -99.9            (H)                                       Delaygue et al (2001)
  85.00  4.50 11994    0 -99.9 34.60  0.33 -99.9                                                      Delaygue et al (2001)
  85.12  4.52 11994    0 -99.9 34.86  0.25 -99.9            (H)                                       Delaygue et al (2001)
  84.72  4.93 11994    0 -99.9 34.70  0.34 -99.9            (H)                                       Delaygue et al (2001)
  84.53  5.13 11994    0 -99.9 34.50  0.33 -99.9                                                      Delaygue et al (2001)
  84.22  5.98 11994    0 -99.9 34.30  0.29 -99.9                                                      Delaygue et al (2001)
  84.48  6.32 11994    0 -99.9 34.50  0.32 -99.9            (H)                                       Delaygue et al (2001)
  84.78  6.57 11994    0 -99.9 34.60  0.37 -99.9                                                      Delaygue et al (2001)
  82.62  7.90 11994    0 -99.9 33.30  0.11 -99.9                                                      Delaygue et al (2001)
  82.30  8.25 11994    0 -99.9 32.51  0.11 -99.9            (H)                                       Delaygue et al (2001)
  83.17  7.98 11994    0 -99.9 33.11  0.31 -99.9            (H)                                       Delaygue et al (2001)
  83.55  7.93 11994    0 -99.9 33.32  0.33 -99.9            (H)                                       Delaygue et al (2001)
  84.27  7.83 11994    0 -99.9 33.62  0.27 -99.9            (H)                                       Delaygue et al (2001)
  85.53  7.67 11994    0 -99.9 34.17  0.30 -99.9            (H)                                       Delaygue et al (2001)
  85.50  7.58 11994    0 -99.9 34.17  0.32 -99.9            (H)                                       Delaygue et al (2001)
  85.60  7.72 11994    0 -99.9 34.30  0.22 -99.9                                                      Delaygue et al (2001)
  85.53  7.62 11994    0 -99.9 34.17  0.25 -99.9            (H)                                       Delaygue et al (2001)
  85.48  7.55 11994    0 -99.9 34.17  0.28 -99.9            (H)                                       Delaygue et al (2001)
  85.53  9.37 11994    0 -99.9 33.90  0.28 -99.9                                                      Delaygue et al (2001)
  85.28  9.67 11994    0 -99.9 34.40  0.34 -99.9                                                      Delaygue et al (2001)
  86.40 10.67 11994    0 -99.9 34.20  0.22 -99.9            (H)                                       Delaygue et al (2001)
  86.72 10.75 11994    0 -99.9 33.80  0.17 -99.9                                                      Delaygue et al (2001)
  86.73 10.95 11994    0 -99.9 33.30  0.16 -99.9                                                      Delaygue et al (2001)
  86.82 11.02 11994    0 -99.9 34.00  0.12 -99.9            (H)                                       Delaygue et al (2001)
  87.03 11.07 11994    0 -99.9 33.50  0.20 -99.9                                                      Delaygue et al (2001)
  88.37 11.18 11994    0 -99.9 33.66  0.22 -99.9            (H)                                       Delaygue et al (2001)
  88.42 11.18 11994    0 -99.9 33.59  0.15 -99.9            (H)                                       Delaygue et al (2001)
  88.28 11.48 11994    0 -99.9 33.60  0.19 -99.9                                                      Delaygue et al (2001)
  87.58 11.48 11994    0 -99.9 33.35 -0.03 -99.9            (H)                                       Delaygue et al (2001)
  85.93 11.92 11994    0 -99.9 33.37  0.15 -99.9            (H)                                       Delaygue et al (2001)
