Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-9.66122,38.32640,10,2010,2367.300,3.73000,35.060001,0.32000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,3324.300,2.50000,34.910000,0.32000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,2572.900,3.16000,34.990002,0.33000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,546.300,12.35000,35.669998,0.33000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,234.500,12.69000,35.439999,0.34000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,2223.700,3.31000,34.959999,0.34000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,1088.400,5.82000,34.970001,0.36000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,2474.200,3.30000,35.000000,0.36000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,1778.900,5.15000,35.220001,0.36000,-99.9,,Geotraces Jenkins et al. (2010)
-20.82111,17.35380,10,2010,288.400,12.08000,35.380001,0.37000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,792.500,7.37000,34.939999,0.37000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,185.900,14.32000,36.009998,0.38000,-99.9,,Geotraces Jenkins et al. (2010)
-22.78339,17.35140,10,2010,1976.500,3.63000,34.980000,0.38000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,1337.600,8.44000,35.750000,0.38000,-99.9,,Geotraces Jenkins et al. (2010)
-18.2529,17.35330,10,2010,106.400,14.77000,35.680000,0.38000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,843.200,9.44000,35.450001,0.39000,-99.9,,Geotraces Jenkins et al. (2010)
-15.99951,35.20140,10,2010,986.400,10.25000,35.919998,0.40000,-99.9,,Geotraces Jenkins et al. (2010)
-9.66122,38.32640,10,2010,2071.800,4.45000,35.160000,0.41000,-99.9,,Geotraces Jenkins et al. (2010)
-21.76611,31.00300,10,2010,5029.900,2.45000,34.889999,0.41000,-99.9,,Geotraces Jenkins et al. (2010)
