 144.00 37.00 51997  700  3.95 34.26 -0.18 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997  800  3.81 34.34 -0.13 -99.9                                                      M. Itou (pers. comm.)
 144.00 37.00 51997 1000  3.06 34.41 -0.16 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  150 17.97 34.81  0.32 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  175 17.87 34.81  0.31 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  200 17.73 34.82  0.32 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  250 16.95 34.78  0.30 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  300 15.46 34.65  0.24 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  400 12.20 34.42  0.13 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  500  9.57 34.26 -0.01 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  600  7.38 34.19 -0.10 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  700  5.62 34.18 -0.17 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997  800  4.83 34.24 -0.14 -99.9                                                      M. Itou (pers. comm.)
 144.00 33.00 51997 1000  3.65 34.33 -0.17 -99.9                                                      M. Itou (pers. comm.)
  22.18 59.26 51982    3 -99.9  7.20 -6.40 -99.9                                                       Punning et al (1991)
  22.18 59.26 51982   20 -99.9  7.40 -6.30 -99.9                                                       Punning et al (1991)
  22.18 59.26 51982   60 -99.9  8.00 -6.00 -99.9                                                       Punning et al (1991)
  22.18 59.26 51982   70 -99.9  8.80 -5.90 -99.9                                                       Punning et al (1991)
  22.18 59.26 51982   85 -99.9 10.10 -5.30 -99.9                                                       Punning et al (1991)
  26.34 60.07 51982   10 -99.9  5.00 -7.40 -99.9                                                       Punning et al (1991)
  26.34 60.07 51982   15 -99.9  5.00 -7.40 -99.9                                                       Punning et al (1991)
  26.34 60.07 51982   20 -99.9  5.30 -7.00 -99.9                                                       Punning et al (1991)
  26.34 60.07 51982   25 -99.9  6.00 -6.80 -99.9                                                       Punning et al (1991)
  26.34 60.07 51982   30 -99.9  6.40 -6.50 -99.9                                                       Punning et al (1991)
  26.34 60.07 51982   58 -99.9  7.30 -6.30 -99.9                                                       Punning et al (1991)
  19.99 57.25 51982   40 -99.9  7.70 -5.90 -99.9                                                       Punning et al (1991)
  19.99 57.25 51982   58 -99.9  8.00 -6.10 -99.9                                                       Punning et al (1991)
  19.99 57.25 51982   70 -99.9  9.10 -5.60 -99.9                                                       Punning et al (1991)
  19.99 57.25 51982  180 -99.9 12.10 -4.90 -99.9                                                       Punning et al (1991)
  15.81 55.33 51982    2 -99.9  8.00 -6.10 -99.9                                                       Punning et al (1991)
  15.81 55.33 51982   54 -99.9  7.80 -6.30 -99.9                                                       Punning et al (1991)
  -2.00 73.50 51997   10 -1.69 34.74  0.28 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  100 -1.68 34.75  0.27 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  200 -0.17 34.87  0.30 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  300 -0.74 34.85  0.36 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  500 -0.54 34.89  0.31 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  600 -0.60 34.89  0.26 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  700 -0.70 34.89  0.32 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  750 -0.74 34.88  0.28 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  800 -0.77 34.88  0.25 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  900 -0.83 34.88  0.30 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997  999 -0.84 34.88  0.27 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 1000 -0.84 34.88  0.27 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 1100 -0.81 34.89  0.31 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 1200 -0.77 34.90  0.24 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 1400 -0.77 34.91  0.29 -99.9                                                 Risebrobakken et al (2003)
  -2.00 73.50 51997 1600 -0.85 34.91  0.30 -99.9                                                 Risebrobakken et al (2003)
